Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
-0.11920515,-0.117178954,0.0042225327,-0.08250081,0.4108526,0.52442986,-0.09769959,-0.008625051,-0.102136,-0.13776545,-0.27590048,0.5052373,-0.29303566,-0.18155462,-0.7622058,-0.1638946,0.081359506,0.6512113,0.3268384,-0.12515444,-0.091839395,-0.28092146,-0.18305801,-0.32202324,-0.0663926,0.19507428,-0.018225584,0.28557977,-0.26059592,-0.19990897
-0.31028947,-0.043099348,0.12979563,-0.2917846,0.4538049,0.38448521,-0.290762,-0.038433596,-0.03371805,-0.22070725,-0.33776298,0.63022405,-0.58439064,-0.06972622,-1.1337353,-0.14429459,0.1396638,0.724715,0.39277747,-0.09562308,-0.11319146,-0.2352209,-0.22785415,-0.30630583,-0.054443337,0.22443467,0.1047532,0.22776975,-0.03286304,-0.2648732
0.014653201,-0.5776476,0.12949678,-0.52326113,0.34234002,-0.2475781,-0.024087882,-0.579467,0.2201252,-0.36123967,-0.5523107,0.39104876,-0.78283745,0.13972475,-0.4882105,0.0010989825,-0.48358423,-0.9530763,-0.29282293,0.18066731,-0.1759818,0.082606025,0.039290555,-0.12404898,0.07709488,-0.07906885,0.13415459,-0.052195746,-0.08280431,0.00037968718
-0.04786294,-0.105129525,-0.05749994,-0.08749332,0.13733663,0.021858677,-0.0048219664,-0.07995374,0.0028550858,-0.101652876,-0.105047435,0.13512497,-0.15661532,-0.0032500816,-0.13418572,0.03418842,-0.074057885,-0.09880739,0.018873684,0.019199362,0.028816868,-0.03456384,-0.023530688,-0.06318881,0.0117896795,-0.014019033,0.051270787,0.062123477,-0.0075949025,0.039645426
-0.013677869,-0.22798003,-0.15595812,-0.039281536,0.1296896,0.06508413,-0.032703407,-0.038297273,-0.00058657816,-0.058795314,-0.031513534,0.06782172,-0.10078454,-0.07209136,0.027239425,-0.049181323,-0.021792134,-0.11723505,0.0012672029,0.03867193,-0.020651184,0.000269128,-0.014174471,0.025592938,0.12523757,-0.009508548,0.023127163,0.09587162,-0.03980216,0.04559792
0.012369734,-0.53315705,0.23415433,-0.46928254,0.4448078,-0.36265042,-0.14875211,-0.7083828,0.28151715,-0.47667006,-0.8651283,0.6916174,-1.2020524,0.07163884,-1.0351176,0.14843373,-0.8576104,-1.5414599,-0.47451058,0.40036944,-0.10939096,0.09441765,0.060364597,-0.21474577,-0.01449318,-0.12289569,0.11758751,0.026755052,0.05367114,-0.09626348
-0.009265914,-0.16563042,0.020903306,-0.28248948,0.20842737,0.20134254,-0.116763376,-0.1360166,0.12897165,-0.1809307,-0.33452106,0.3319117,-0.38354173,-0.04466883,-0.6595501,-0.010637792,-0.1088357,-0.031564392,0.06639318,-0.008615771,0.021439785,-0.096356496,-0.038991146,-0.14952938,-0.003977679,0.07560432,0.097654656,0.028315442,0.114639334,0.054776877
-0.007719214,-0.31730068,0.048642643,-0.40988868,0.49634677,-0.065514915,-0.14229944,-0.41806537,0.19404373,-0.36258638,-0.6151066,0.62788975,-1.0092916,-0.051050115,-1.2036088,0.16236892,-0.6156756,-0.8622203,-0.12770547,0.2010997,-0.024048617,0.001875516,0.0403424,-0.20891888,-0.09920649,0.043754227,0.12595052,0.15683866,0.27923512,-0.012016883
-0.10204928,-0.47927636,0.030034184,-0.352004,0.34553716,-0.013484736,-0.0480782,-0.42752326,0.016736817,-0.39712754,-0.3635505,0.33204606,-0.4955587,0.04585477,-0.3938349,-0.12354244,-0.21944913,-0.27533677,0.03491166,0.19173408,-0.056815863,-0.2752763,0.08654195,-0.17168295,0.11637945,-0.0013768049,0.24229649,0.20342211,-0.19743288,-0.042660385
0.024743333,-1.3059211,0.47870836,-1.2774558,0.7111509,-0.8468746,-0.12958835,-1.7049434,0.4359837,-0.88225156,-1.345589,0.77493334,-1.7447449,0.19133875,-0.98806363,-0.1307425,-1.0989656,-1.9907583,-0.63356537,0.43136048,-0.2467872,-0.19645561,0.03082226,-0.35370654,0.11043472,0.00701694,0.27919936,-0.0633619,-0.4989733,-0.08836171
-0.047638368,-0.4143225,0.15727344,-0.48944286,0.5139098,-0.16130213,-0.124928154,-0.6036591,0.2506166,-0.36106136,-0.7578306,0.5684111,-0.8852167,0.040384196,-0.98271877,0.01745368,-0.4944459,-0.79083854,-0.18915127,0.24517578,-0.15668337,-0.09051217,-0.017276274,-0.38259327,-0.0071644154,-0.08899085,0.105512224,-0.0068379617,0.052459564,-0.050397553
-0.07389071,-0.36118507,0.039354853,-0.40436754,0.30043674,-7.8630226e-05,-0.10186224,-0.38873225,0.04571507,-0.29213586,-0.2859788,0.31478196,-0.40526506,0.051686063,-0.509099,-0.1588722,-0.130938,-0.17899375,0.042891387,0.18776028,-0.11908799,-0.25206205,-0.0072261137,-0.25998804,0.02400537,0.031476513,0.15710726,0.06045564,-0.09416599,-0.06611217
-0.0596839,-0.45209378,0.07128889,-0.3239414,0.64659655,-0.06743704,-0.04513772,-0.4541769,0.253692,-0.4979379,-0.80961716,0.9883223,-1.5128429,0.057145048,-1.4653971,0.2849406,-1.1400286,-1.6910504,-0.36191764,0.40556258,0.0018155139,0.1493126,0.17955185,-0.090311274,-0.05190657,-0.14622498,0.16340026,-0.082148865,0.49479204,-0.062556796
-0.03299949,-0.6123643,0.4056042,-0.6244172,0.6871296,-0.33281118,-0.16560349,-0.8025343,0.21121818,-0.5951167,-0.89330995,0.8988551,-1.6004893,0.09959805,-1.457643,0.12956552,-1.2308073,-1.9053353,-0.55148077,0.46788743,-0.11056753,0.059854582,0.12730394,-0.0645121,-0.03500294,-0.12827437,0.19868688,0.073248334,0.31581783,-0.20056978
-0.020978792,-0.48202944,0.085095726,-0.42374074,0.35323668,-0.23677695,-0.06985319,-0.546484,0.2660239,-0.34696686,-0.5137689,0.40490368,-0.7626449,0.058143515,-0.5746402,-0.030289542,-0.41166925,-0.8217428,-0.2707458,0.23354602,-0.07215656,0.045637973,0.07605763,-0.12333849,0.032289524,-0.057332262,0.14505056,-0.05316472,-0.069119416,-0.05652661
-0.18383709,-0.035146717,-0.04943873,-0.105136804,0.35205197,0.18636176,-0.05326748,-0.032717526,-0.22002415,-0.08393144,-0.2308438,0.34007767,-0.17608666,-0.18832202,-0.43974596,0.017489128,0.05259274,0.3348968,0.154826,-0.08234902,0.061947916,-0.2118567,-0.19654214,-0.26081172,-0.017648753,0.15821648,0.07141517,0.26916304,-0.19104505,-0.08217282
-0.06669727,-0.23095053,0.13294236,-0.24440613,0.42889398,0.30732292,-0.11092922,-0.1465929,0.13768858,-0.18444192,-0.22888295,0.49731386,-0.6352357,0.052023374,-0.74438256,-0.13620533,-0.084169045,-0.020587776,0.13315344,0.0055135437,-0.12462303,-0.17539275,-0.096426435,-0.2581155,-0.034255806,0.14888094,0.13115972,-0.0135163795,-0.048074972,-0.16156733
-0.054076586,-0.54891676,0.28443792,-0.67749256,0.55399454,-0.4626301,-0.13926443,-0.94002855,0.26730543,-0.5509211,-0.8195094,0.72579086,-1.308834,0.089890614,-1.1536459,0.058867697,-0.9639411,-1.597475,-0.44698647,0.40306938,-0.02675035,-0.05801007,0.12925252,-0.1785042,-0.034153733,0.007584704,0.14784484,0.12279498,0.12927668,-0.13958646
-0.008654589,-0.17389306,-0.0036319946,-0.06986884,0.16335261,0.086820394,-0.0643409,-0.04440783,0.02848477,-0.10286239,-0.15321994,0.23772523,-0.29248974,0.0041648936,-0.23002298,0.0131578725,-0.09441629,-0.23767395,-0.063246466,0.00981357,-0.009694181,0.016442943,-0.03568328,-0.08220542,0.08978491,-0.054142125,0.04544274,-0.02651256,-0.009608851,0.008254236
-0.1001036,-0.22624627,0.105207235,-0.30885223,0.23657446,-0.0024718684,-0.07007777,-0.26766616,-0.069330186,-0.18061069,-0.22622348,0.24711217,-0.37216344,-0.04457143,-0.338348,-0.087460704,-0.06925345,-0.05082965,0.02674639,0.08499086,-0.09087572,-0.18838397,-0.090630054,-0.24280283,0.040944636,-0.035005115,0.13066982,0.013577061,-0.1277124,-0.016203122
-0.25577116,-0.20936474,-0.104072444,-0.052488815,0.2830685,0.0659997,-0.13055934,-0.08630344,-0.038229816,-0.14403945,-0.38102266,0.45825642,-0.26053974,-0.3137781,-0.65362823,0.13309,-0.087686256,-0.031803336,0.13481754,0.07296734,-0.08915527,-0.17999403,-0.13292003,-0.39458212,-0.0015134973,0.13269919,-0.03257765,0.36485478,-0.040503446,-0.048083484
0.046844576,-0.4315672,0.3028157,-0.502872,0.47994474,-0.21437438,-0.040040247,-0.4313728,0.22589709,-0.3298299,-0.6663592,0.6050301,-1.1641005,0.021501109,-0.9034893,0.18052694,-0.7437401,-1.2288563,-0.39125594,0.24360906,-0.1382466,0.20635752,0.015147641,-0.10696922,0.008904494,-0.16866815,0.1332124,-0.16660014,0.16093013,-0.02646442
-0.17072299,-0.08826309,-0.008588823,-0.01062054,0.29443777,0.33269337,-0.16532904,0.06869068,-0.060871292,-0.06449227,-0.20664006,0.41319004,-0.12353733,-0.19506864,-0.50368476,-0.03231046,0.1684003,0.5156612,0.23046517,-0.14654319,0.04839447,-0.19722112,-0.18482514,-0.28198555,0.015639955,0.13559933,0.027330503,0.21626908,-0.13417155,0.039075345
-0.027047208,-0.27397162,0.01894373,-0.21947223,0.47166473,-0.020512635,-0.11722947,-0.32990834,0.22722587,-0.32139313,-0.55655575,0.69173586,-1.0148787,0.09428324,-0.9953955,0.18582098,-0.7384087,-1.3686426,-0.37251443,0.32509777,-0.026179811,0.05525612,0.124952,-0.06028532,0.037855722,-0.1928384,0.17665142,-0.06550605,0.29251397,-0.09198896
0.045406193,-0.17943059,-0.09400846,-0.056614928,0.18346874,0.04925569,-0.062313765,-0.092067964,0.02837181,-0.16071646,-0.28916752,0.29172543,-0.32511368,-0.04790087,-0.38128057,0.07342403,-0.24507618,-0.55025333,-0.15110013,0.101456895,-0.02612587,-0.046778776,0.10388731,-0.13627161,0.0075815744,-0.07430365,0.014270671,0.040141687,-0.024869885,-0.09470982
-0.02308685,-0.10970071,0.06695205,-0.13677457,0.21352392,0.06441742,-0.036458924,-0.16628821,0.06728728,-0.15068191,-0.20469934,0.29273966,-0.43639606,-0.034159094,-0.50429964,-0.018668795,-0.257044,-0.24460986,-0.05087604,0.09380915,-0.09587378,-0.05370657,0.026724888,-0.08299866,-0.055929456,0.0011759177,0.051268574,0.04786169,0.060755506,-0.090118505
0.040245153,-0.37213516,0.0067890687,-0.25287223,0.28277317,-0.08224383,-0.011741227,-0.29878062,0.19537733,-0.19456874,-0.40707612,0.3522335,-0.6456044,0.050976977,-0.5074001,0.17996886,-0.40096354,-0.7983101,-0.2488447,0.18392421,-0.09196047,0.15547623,-0.008307656,-0.119495936,0.041626975,-0.16168849,0.04844354,-0.13401102,0.038072154,0.044006243
-0.08618612,-0.05980891,0.04354455,-0.07697143,0.19483404,0.17787364,0.005039513,-0.0183176,-0.005512396,-0.05135583,-0.19210403,0.25758442,-0.1953802,-0.04766162,-0.3631974,-0.029176302,0.044557836,0.22814463,0.14405012,-0.03405178,-0.0077532446,-0.14838646,-0.058336794,-0.2057546,-0.03152153,0.13724951,0.0118038375,0.13204071,-0.067108005,-0.08063891
-0.06321227,-0.9191382,0.36456296,-0.8662838,0.76292825,-0.6107664,-0.13032697,-1.0438855,0.528649,-0.6931108,-1.2486374,0.98750216,-1.846527,0.13181384,-1.5531404,0.038818907,-1.1941209,-1.9924228,-0.6032178,0.4837687,-0.12684096,0.15099408,0.13332829,-0.36357173,0.03457863,-0.104787506,0.23330516,-0.066821724,0.15391576,-0.032604143
-0.071481526,-1.2577481,0.3666095,-1.1529907,0.6788326,-0.62283146,-0.100312956,-1.4259515,0.22428751,-0.86427146,-1.0933617,0.6839945,-1.3438146,0.14536549,-1.0670096,-0.096174866,-0.90150094,-1.4273118,-0.42145044,0.52668184,-0.32099056,-0.3313214,-0.0037901658,-0.8393459,0.021786751,-0.078447245,0.28550646,0.0136094205,-0.5797064,-0.1665948
-0.120244965,-0.64551973,0.31085005,-0.71610236,0.8315619,-0.37834746,-0.1696339,-0.91443986,0.35411426,-0.6440225,-1.0620785,1.0454504,-1.8334368,0.09761121,-1.5281119,0.13004307,-1.2917862,-1.9975761,-0.5184738,0.50287944,-0.13643242,-0.01687464,0.028007979,-0.28724372,-0.111783266,-0.09943466,0.22644405,0.015509596,0.28723305,-0.06659992
-0.014333964,-0.84752667,0.25900015,-0.73717624,0.39372808,-0.3352123,-0.12049381,-0.8844869,-0.027105052,-0.52958035,-0.6422323,0.36283207,-0.8025048,0.0914289,-0.37243396,-0.26508683,-0.4039319,-0.6155011,-0.11637522,0.3134181,-0.20344739,-0.39558405,-0.016741563,-0.43619674,0.10999122,-0.06906987,0.2312064,-0.0865428,-0.53830814,-0.03231865
-0.04360205,-0.09324453,-0.21492124,0.09888868,0.13872337,0.069708034,-0.104972385,0.009158835,0.08862015,-0.062141526,-0.082529426,0.1452938,-0.059967726,-0.1333729,-0.15119173,0.028923327,-0.12024143,-0.20386882,0.06644079,0.07460751,0.026229275,-0.08970923,-0.07448666,-0.072238244,0.04783118,-0.05142109,0.003038417,0.15656601,0.015608734,0.011688961
-0.04774102,-0.36389637,0.16562055,-0.4185844,0.496558,-0.20640561,-0.10616404,-0.47419986,0.13188228,-0.46255252,-0.6043842,0.7658486,-1.1894113,-0.04036665,-1.1871244,0.1625402,-0.87945837,-1.3017302,-0.29568937,0.33478668,-0.08466114,0.14276457,0.033275668,-0.066520646,-0.039676685,-0.13229463,0.13002448,0.059881795,0.40853938,0.016799262
-0.2130097,-0.04733689,0.14640385,-0.2507412,0.41880807,0.35672626,-0.13570721,-0.056698836,-0.10909357,-0.23823144,-0.28772256,0.5233301,-0.40456367,-0.04491365,-0.8778506,-0.13755095,0.117648184,0.62847966,0.23902245,-0.085522756,-0.010631731,-0.3048965,-0.15830083,-0.30442306,-0.02779407,0.19611906,0.07257959,0.18127707,-0.112380736,-0.16569686
-0.2517564,0.0053453567,-0.04341847,0.009084078,0.2904985,0.43068564,-0.037692778,-0.0521715,-0.30358246,-0.04200262,-0.14251828,0.39419052,-0.10903531,-0.30183798,-0.52110523,-0.04509481,0.17269015,0.5512878,0.33261847,-0.19742842,-0.060969673,-0.27610368,-0.16987509,-0.44277477,-0.011511681,0.19263372,-0.063318886,0.37371078,-0.29775488,-0.14010094
